	R	G	B	
normalized				
400	-0.051820651	-0.042004357	-0.007308924	
401	-0.054591808	-0.044270153	-0.007726577	
402	-0.057307543	-0.046623094	-0.008144229	
403	-0.0435626	-0.036078431	0.00118335	
404	-0.029762235	-0.025533769	0.010510929	
405	-0.016017292	-0.015076253	0.019908116	
406	-0.002216926	-0.00453159	0.029235695	
407	0.001662695	-0.003137255	0.049770291	
408	0.005542316	-0.001655773	0.070304887	
409	0.009366513	-0.000174292	0.090839482	
410	0.013246134	0.001220044	0.111374078	
411	0.017125755	0.002701525	0.131908673	
412	0.021005376	0.004183007	0.152443269	
413	0.022501801	0.001917211	0.19643603	
414	0.023998226	-0.000261438	0.24042879	
415	0.025494652	-0.002440087	0.28449116	
416	0.026991077	-0.004705882	0.32848392	
417	0.028487502	-0.006884532	0.372476681	
418	0.029983927	-0.009150327	0.416539051	
419	0.040957712	-0.00087146	0.472086872	
420	0.05198692	0.007320261	0.527634693	
421	0.063016128	0.015511983	0.583182514	
422	0.074045336	0.023703704	0.638730336	
423	0.072493488	0.025272331	0.663302241	
424	0.070941639	0.026840959	0.687874147	
425	0.069389791	0.028409586	0.712515662	
426	0.067893366	0.029978214	0.737087568	
427	0.066119825	0.031546841	0.748085758	
428	0.064401707	0.033028322	0.759083948	
429	0.062683589	0.034509804	0.770082138	
430	0.060965471	0.036078431	0.781080329	
431	0.059247354	0.037559913	0.792078519	
432	0.057529236	0.039041394	0.803076709	
433	0.054203846	0.04087146	0.81748573	
434	0.05093388	0.042614379	0.831894751	
435	0.047663914	0.044357298	0.846303773	
436	0.044393948	0.046187364	0.860782403	
437	0.046056642	0.05037037	0.878671864	
438	0.047719337	0.054466231	0.896561325	
439	0.049382032	0.058649237	0.914520395	
440	0.05110015	0.062832244	0.932409857	
441	0.052762844	0.066928105	0.950299318	
442	0.054425539	0.071111111	0.968258388	
443	0.050545918	0.071198257	0.9588612	
444	0.046666297	0.071285403	0.949464012	
445	0.042731253	0.071372549	0.940066824	
446	0.038851632	0.071459695	0.930669637	
447	0.038907055	0.075642702	0.940554086	
448	0.038907055	0.079825708	0.950508144	
449	0.038962479	0.084095861	0.960462202	
450	0.039017902	0.088278867	0.970346652	
451	0.039073325	0.092461874	0.98030071	
452	0.039073325	0.096732026	0.990254768	
453	0.038519093	0.105882353	0.992691076	
454	0.037909439	0.11503268	0.995127384	
455	0.037299784	0.124183007	0.997563692	
456	0.036745552	0.133333333	1	
457	0.036856399	0.141350763	0.989419463	
458	0.037022668	0.149281046	0.978838925	
459	0.037133514	0.157298475	0.968258388	
460	0.037299784	0.165228758	0.95767785	
461	0.03741063	0.173246187	0.947097313	
462	0.037521476	0.181263617	0.936516776	
463	0.038352824	0.196688453	0.93797856	
464	0.039128748	0.21211329	0.939509954	
465	0.039904672	0.227538126	0.941041348	
466	0.040680596	0.242962963	0.942503132	
467	0.041567367	0.258213508	0.928372546	
468	0.042454137	0.273464052	0.914172351	
469	0.043340908	0.288714597	0.899972156	
470	0.044227678	0.303877996	0.885771962	
471	0.045225295	0.311285403	0.87602673	
472	0.046222912	0.318779956	0.866211889	
473	0.047220529	0.326187364	0.856397049	
474	0.048218146	0.333594771	0.846582208	
475	0.049215762	0.341002179	0.836836976	
476	0.050213379	0.348409586	0.827022136	
477	0.050157956	0.357298475	0.813239593	
478	0.050102533	0.366187364	0.799387443	
479	0.050102533	0.375076253	0.7856049	
480	0.05004711	0.383965142	0.771822358	
481	0.049215762	0.387973856	0.753724071	
482	0.048384415	0.391982571	0.735695392	
483	0.047553068	0.395991285	0.717666713	
484	0.04672172	0.4	0.699568425	
485	0.045890373	0.404008715	0.681539747	
486	0.045059026	0.408017429	0.663511068	
487	0.044449371	0.4216122	0.646665739	
488	0.043784293	0.435206972	0.629890018	
489	0.043119215	0.448714597	0.613044689	
490	0.04250956	0.462309368	0.59619936	
491	0.044449371	0.488627451	0.57587359	
492	0.046389181	0.51503268	0.555547821	
493	0.048328992	0.541437908	0.535222052	
494	0.050268802	0.567755991	0.514896283	
495	0.049160339	0.576470588	0.492343032	
496	0.048051876	0.585272331	0.469789781	
497	0.046943413	0.593986928	0.447306139	
498	0.04583495	0.602788671	0.424752889	
499	0.044726487	0.611503268	0.402269247	
500	0.043618024	0.620217865	0.379715996	
501	0.04461564	0.64043573	0.365167757	
502	0.045613257	0.660653595	0.350689127	
503	0.046610874	0.680784314	0.336140888	
504	0.047553068	0.701002179	0.321592649	
505	0.048550684	0.721132898	0.307114019	
506	0.049548301	0.741350763	0.29256578	
507	0.051377265	0.764008715	0.275024363	
508	0.05320623	0.786753813	0.257413337	
509	0.054979771	0.809411765	0.23987192	
510	0.056808735	0.832069717	0.222330503	
511	0.060743779	0.844444444	0.211610748	
512	0.064678823	0.856819172	0.200821384	
513	0.068613867	0.869281046	0.190101629	
514	0.072604334	0.881655773	0.179381874	
515	0.076539378	0.894030501	0.168662119	
516	0.080474422	0.906405229	0.157942364	
517	0.083522696	0.918954248	0.145482389	
518	0.086570969	0.931590414	0.132952805	
519	0.089619243	0.944139434	0.120423221	
520	0.09272294	0.956775599	0.107963247	
521	0.095050712	0.967581699	0.099819017	
522	0.097378485	0.9783878	0.091674788	
523	0.099706257	0.9891939	0.083600167	
524	0.10203403	1	0.075455938	
525	0.098265255	0.993115468	0.069678407	
526	0.094551904	0.986318083	0.063970486	
527	0.090838552	0.979520697	0.058192956	
528	0.087125201	0.972636166	0.052415425	
529	0.083910658	0.970631808	0.049979117	
530	0.080696115	0.968627451	0.047473201	
531	0.077481572	0.96671024	0.045036893	
532	0.074267029	0.964705882	0.042600585	
533	0.071052486	0.962701525	0.040094668	
534	0.067837943	0.960697168	0.03765836	
535	0.062849859	0.955119826	0.034874008	
536	0.057861775	0.949542484	0.032159265	
537	0.052873691	0.943965142	0.029374913	
538	0.047830183	0.9383878	0.02666017	
539	0.045613257	0.931503268	0.025267994	
540	0.043340908	0.924618736	0.023875818	
541	0.041068558	0.917647059	0.022553251	
542	0.038796209	0.910762527	0.021161075	
543	0.03652386	0.903877996	0.019768899	
544	0.034306933	0.896993464	0.018376723	
545	0.033752702	0.884705882	0.017193373	
546	0.03319847	0.872418301	0.015940415	
547	0.032644239	0.860130719	0.014757065	
548	0.032090007	0.847843137	0.013504107	
549	0.0323117	0.837211329	0.012877628	
550	0.032533392	0.826666667	0.012251149	
551	0.032755085	0.816034858	0.011624669	
552	0.032976778	0.80540305	0.011067799	
553	0.03319847	0.794771242	0.01044132	
554	0.033420163	0.784139434	0.009814841	
555	0.035637089	0.770457516	0.009397188	
556	0.037798592	0.756775599	0.008979535	
557	0.040015518	0.743093682	0.008561882	
558	0.042177022	0.729411765	0.008144229	
559	0.044338525	0.715729847	0.007726577	
560	0.046555451	0.70204793	0.007308924	
561	0.058194314	0.682440087	0.00696088	
562	0.069833176	0.662832244	0.006682445	
563	0.081472039	0.643224401	0.006334401	
564	0.093110902	0.623616558	0.006055965	
565	0.123261098	0.609586057	0.005986357	
566	0.153355872	0.595642702	0.005847139	
567	0.183506069	0.5816122	0.00577753	
568	0.213600842	0.567581699	0.005707921	
569	0.258826138	0.553899782	0.005568704	
570	0.304051433	0.540305011	0.005499095	
571	0.349276728	0.526623094	0.005429486	
572	0.394502023	0.513028322	0.005290269	
573	0.439727318	0.499346405	0.00522066	
574	0.484952613	0.485664488	0.005151051	
575	0.553067672	0.465272331	0.005081442	
576	0.621238153	0.444793028	0.005011833	
577	0.689353212	0.424400871	0.004942225	
578	0.75746827	0.403921569	0.004942225	
579	0.786343734	0.386492375	0.004524572	
580	0.815219199	0.368976035	0.004106919	
581	0.844094663	0.351546841	0.003689266	
582	0.872970127	0.334117647	0.003271614	
583	0.901790168	0.316601307	0.002853961	
584	0.930665632	0.299172113	0.002436308	
585	0.94801308	0.28453159	0.002645134	
586	0.965360528	0.269891068	0.002853961	
587	0.982652552	0.255337691	0.002993178	
588	1	0.240697168	0.003202005	
589	0.995455301	0.228496732	0.002853961	
590	0.990855179	0.216296296	0.002436308	
591	0.986310481	0.204095861	0.002088264	
592	0.981765782	0.191895425	0.00174022	
593	0.977221083	0.179694989	0.001322567	
594	0.972676384	0.167494553	0.000974523	
595	0.963032755	0.153376906	0.000835306	
596	0.953389126	0.139172113	0.000696088	
597	0.94380092	0.125054466	0.00055687	
598	0.934157291	0.110849673	0.000348044	
599	0.922352159	0.102135076	0.000487262	
600	0.910491603	0.093333333	0.00055687	
601	0.898686471	0.08453159	0.000626479	
602	0.886881339	0.075729847	0.000696088	
603	0.875575015	0.071111111	0.00055687	
604	0.864268691	0.066492375	0.000487262	
605	0.852962368	0.061873638	0.000348044	
606	0.841656044	0.057254902	0.000278435	
607	0.830294297	0.052636166	0.000139218	
608	0.818987973	0.048017429	6.96088E-05	
609	0.807792496	0.045577342	0.000208826	
610	0.796541595	0.043050109	0.000417653	
611	0.785290694	0.040610022	0.00055687	
612	0.774095217	0.038169935	0.000765697	
613	0.762844316	0.035642702	0.000904914	
614	0.751648839	0.033202614	0.001113741	
615	0.732417004	0.030675381	0.000974523	
616	0.713185169	0.028235294	0.000835306	
617	0.693953334	0.025708061	0.000765697	
618	0.674666075	0.023267974	0.000626479	
619	0.662694674	0.022222222	0.000626479	
620	0.650723272	0.021263617	0.000626479	
621	0.638751871	0.020217865	0.000626479	
622	0.626780469	0.019259259	0.000626479	
623	0.614809067	0.018300654	0.000626479	
624	0.602837666	0.017254902	0.000626479	
625	0.588704761	0.01620915	0.00055687	
626	0.574571856	0.015163399	0.000487262	
627	0.560438951	0.014204793	0.000417653	
628	0.546306047	0.013159041	0.000348044	
629	0.535609378	0.012374728	0.000208826	
630	0.524912709	0.011590414	6.96088E-05	
631	0.514216039	0.0108061	-6.96088E-05	
632	0.50351937	0.009934641	-0.000208826	
633	0.492822701	0.009150327	-0.000348044	
634	0.482126032	0.008366013	-0.000487262	
635	0.467882281	0.007407407	-0.000696088	
636	0.453693953	0.006448802	-0.000904914	
637	0.439505625	0.00540305	-0.001113741	
638	0.425261874	0.004444444	-0.001322567	
639	0.413512165	0.004793028	-0.001044132	
640	0.401707033	0.005228758	-0.000765697	
641	0.389901901	0.005577342	-0.000487262	
642	0.378152192	0.006013072	-0.000208826	
643	0.36634706	0.006361656	6.96088E-05	
644	0.354541928	0.006797386	0.000348044	
645	0.345840492	0.00627451	0.000139218	
646	0.337139057	0.005664488	0	
647	0.328382198	0.005141612	-0.000139218	
